id,name,locale
c2e3e911-af41-4538-a9b2-1ccd5c0b6676,TI كود كومبوزر ستوديو,ar-LB
a1d9e41c-dd04-416b-8b56-e5af0ab61dd8,تايغر غراف,ar-LB
adacc98f-597a-48ed-aa04-9fba8f6a46d1,عمليات حصاد الأخشاب,ar-LB
8bea713f-527f-40e8-ba08-7bc89a926aeb,إدارة الوقت,ar-LB
8c0ea0f4-6c7b-4dd4-8ca4-059818f797f8,إدارة الوقت وتحديد الأولويات,ar-LB
df42ba42-4ec6-49c8-b9a0-caf6df110fcf,تحليل السلاسل الزمنية والتنبؤ,ar-LB
e07f4a85-bee2-4831-8d7c-bde788be927b,تحليل السلاسل الزمنية لقياس الأداء,ar-LB
6c4519af-926c-45ae-adcb-23ac443a00b2,TLA+,ar-LB
e79f6597-4e98-4909-9d46-2f919b8d53c5,نظام إدارة الخزينة (TMS) من Reval,ar-LB
10e17a27-daed-472c-81a3-1c0626310c12,TOGAF,ar-LB
f63e7ed4-74ee-45c8-bb7a-6d9c5aee2e81,اقتصاد التوكن وإدارة الأصول الرقمية,ar-LB
dea1f532-e95f-430b-a694-01b6f17ed55d,محلل تول,ar-LB
292878ae-cd4b-4ee2-9b35-23a3e64c8426,استخدام الأدوات والتكنولوجيا لإدارة المشاريع والعمليات,ar-LB
0d538962-ccec-4801-88a8-27ca4d00ed6f,TopBraid Composer,ar-LB
ad72eb4c-8515-43eb-ab49-41c7670edb16,تحليل التكلفة الإجمالية للملكية,ar-LB
b5276c00-f9df-4e45-88a5-5000b4361670,توتانغو,ar-LB
8eb416ce-7c78-40d8-8a5d-ffc00d703e2a,تتبع وإدارة سلسلة التوريد,ar-LB
e69e9ec3-15c2-4c3d-8ae7-55a435fe68c5,تريس لينك,ar-LB
a53d908b-9538-4e52-85bc-fba7af1a6da5,تراك وايز,ar-LB
c39ea976-008b-40c2-99f1-2ed220c42142,تنفيذ التجارة والعمليات,ar-LB
c278c7e6-8ae8-46fa-99d1-5a306f8c2588,وسائل الإعلام التقليدية,ar-LB
8cb2b32c-d91e-4e37-a225-402325198016,تصميم أنظمة هندسة المرور والتحكم,ar-LB
51e13b86-aa36-4f4c-92dc-a92bf4d248ef,التدريب والوعي في الامتثال التنظيمي,ar-LB
eb2bb8d5-1d61-40d7-b872-41c28fe63deb,برامج التدريب والتوعية,ar-LB
848a6fc3-13bb-49a2-bae1-5e95b2d60c78,تدريب وبناء القدرات لموظفي الخدمة,ar-LB
7a60e40a-b9ad-482c-8a78-78f67506d39b,التدريب وبناء القدرات في الشؤون التنظيمية,ar-LB
c96dd628-4f3c-4c1a-b327-da33cf86d8f6,التدريب والتواصل للامتثال,ar-LB
ea69c4fe-9829-4324-8016-fa1a77ac723a,التواصل حول الامتثال والتدريب,ar-LB
a3a8ec1d-245a-42bc-9ad1-f10a82ebe4d6,التدريب والتطوير لفرق الدعم,ar-LB
233a039d-b67e-418e-b291-aaaf0ef83288,تدريب وتطوير الموظفين,ar-LB
a0476a02-8d8a-4e2e-ba65-7f78a5827244,تدريب وتطوير الموظفين,ar-LB
e59b05b4-c178-4078-b82d-8523e8255f54,تصميم وتنفيذ برنامج التدريب,ar-LB
